No.     Time           Source                Destination           Protocol Length Info
    135 91.758109      149.43.220.33         54.160.120.76         TCP      1440   59276 → 443 [ACK] Seq=3925 Ack=1528 Win=2048 Len=1374 TSval=3542546679 TSecr=482473905 [TCP segment of a reassembled PDU]
    136 91.758114      149.43.220.33         54.160.120.76         TLSv1.2  654    Application Data
    137 91.773092      54.160.120.76         149.43.220.33         TCP      66     443 → 59276 [ACK] Seq=1528 Ack=5887 Win=284 Len=0 TSval=482473960 TSecr=3542546679
    138 91.779118      149.43.220.33         239.255.255.250       SSDP     216    M-SEARCH * HTTP/1.1 
    139 91.998100      149.43.220.33         142.250.31.188        TCP      54     [TCP Dup ACK 43#2] 51394 → 5228 [ACK] Seq=1 Ack=1 Win=2048 Len=0
    140 92.019413      142.250.31.188        149.43.220.33         TCP      66     [TCP Dup ACK 44#2] [TCP ACKed unseen segment] 5228 → 51394 [ACK] Seq=1 Ack=2 Win=265 Len=0 TSval=2846171422 TSecr=2880263431
    141 92.779938      149.43.220.33         239.255.255.250       SSDP     216    M-SEARCH * HTTP/1.1 
    142 93.779192      149.43.220.33         224.0.0.251           MDNS     669    Standard query 0x0000 PTR lb._dns-sd._udp.local, "QU" question PTR _airport._tcp.local, "QU" question PTR _homekit._tcp.local, "QU" question PTR _rdlink._tcp.local, "QU" question PTR _uscan._tcp.local, "QU" question PTR _scanner._tcp.local, "QU" question PTR _ipp._tcp.local, "QU" question PTR _ptp._tcp.local, "QU" question PTR _pdl-datastream._tcp.local, "QU" question PTR _ippusb._tcp.local, "QU" question PTR _printer._tcp.local, "QU" question PTR _ipps._tcp.local, "QU" question PTR _uscans._tcp.local, "QU" question PTR _googlecast._tcp.local, "QU" question PTR _companion-link._tcp.local, "QU" question PTR _apple-mobdev._tcp.local, "QU" question PTR 8d9507a9._sub._apple-mobdev2._tcp.local, "QU" question PTR _apple-pairable._tcp.local, "QU" question PTR _afpovertcp._tcp.local, "QU" question PTR _smb._tcp.local, "QU" question PTR _rfb._tcp.local, "QU" question PTR _adisk._tcp.local, "QU" question ANY Jinseob’s MacBook Pro._airplay._tcp.local, "QU" question ANY 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local, "QU" question ANY Jinseob’s MacBook Pro._companion-link._tcp.local, "QU" question PTR Jinseob’s MacBook Pro._companion-link._tcp.local SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 51389 Jinseobs-MacBook-Pro.local OPT
    143 93.779230      fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     689    Standard query 0x0000 PTR lb._dns-sd._udp.local, "QU" question PTR _airport._tcp.local, "QU" question PTR _homekit._tcp.local, "QU" question PTR _rdlink._tcp.local, "QU" question PTR _uscan._tcp.local, "QU" question PTR _scanner._tcp.local, "QU" question PTR _ipp._tcp.local, "QU" question PTR _ptp._tcp.local, "QU" question PTR _pdl-datastream._tcp.local, "QU" question PTR _ippusb._tcp.local, "QU" question PTR _printer._tcp.local, "QU" question PTR _ipps._tcp.local, "QU" question PTR _uscans._tcp.local, "QU" question PTR _googlecast._tcp.local, "QU" question PTR _companion-link._tcp.local, "QU" question PTR _apple-mobdev._tcp.local, "QU" question PTR 8d9507a9._sub._apple-mobdev2._tcp.local, "QU" question PTR _apple-pairable._tcp.local, "QU" question PTR _afpovertcp._tcp.local, "QU" question PTR _smb._tcp.local, "QU" question PTR _rfb._tcp.local, "QU" question PTR _adisk._tcp.local, "QU" question ANY Jinseob’s MacBook Pro._airplay._tcp.local, "QU" question ANY 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local, "QU" question ANY Jinseob’s MacBook Pro._companion-link._tcp.local, "QU" question PTR Jinseob’s MacBook Pro._companion-link._tcp.local SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 51389 Jinseobs-MacBook-Pro.local OPT
    144 93.779293      149.43.220.33         224.0.0.251           MDNS     159    Standard query response 0x0000 PTR _airplay._tcp.local PTR _raop._tcp.local OPT
