No.     Time           Source                Destination           Protocol Length Info
    145 93.779316      fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     179    Standard query response 0x0000 PTR _airplay._tcp.local PTR _raop._tcp.local OPT
    146 93.780424      149.43.220.33         239.255.255.250       SSDP     216    M-SEARCH * HTTP/1.1 
    147 94.028452      149.43.220.33         224.0.0.251           MDNS     308    Standard query 0x0000 ANY Jinseob’s MacBook Pro._airplay._tcp.local, "QM" question ANY 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local, "QM" question ANY Jinseob’s MacBook Pro._companion-link._tcp.local, "QM" question SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 51389 Jinseobs-MacBook-Pro.local OPT
    148 94.028462      fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     328    Standard query 0x0000 ANY Jinseob’s MacBook Pro._airplay._tcp.local, "QM" question ANY 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local, "QM" question ANY Jinseob’s MacBook Pro._companion-link._tcp.local, "QM" question SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 51389 Jinseobs-MacBook-Pro.local OPT
    149 94.278676      149.43.220.33         224.0.0.251           MDNS     308    Standard query 0x0000 ANY Jinseob’s MacBook Pro._airplay._tcp.local, "QM" question ANY 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local, "QM" question ANY Jinseob’s MacBook Pro._companion-link._tcp.local, "QM" question SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 51389 Jinseobs-MacBook-Pro.local OPT
    150 94.278686      fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     328    Standard query 0x0000 ANY Jinseob’s MacBook Pro._airplay._tcp.local, "QM" question ANY 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local, "QM" question ANY Jinseob’s MacBook Pro._companion-link._tcp.local, "QM" question SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 51389 Jinseobs-MacBook-Pro.local OPT
    151 94.530351      149.43.220.33         224.0.0.251           MDNS     1283   Standard query response 0x0000 TXT, cache flush PTR Jinseob’s MacBook Pro._airplay._tcp.local TXT, cache flush PTR 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local TXT, cache flush PTR _companion-link._tcp.local PTR Jinseob’s MacBook Pro._companion-link._tcp.local TXT SRV, cache flush 0 0 51389 Jinseobs-MacBook-Pro.local AAAA, cache flush fe80::92:ffa0:1ec8:d73c A, cache flush 149.43.220.33 NSEC, cache flush Jinseob’s MacBook Pro._airplay._tcp.local NSEC, cache flush 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local NSEC, cache flush Jinseob’s MacBook Pro._companion-link._tcp.local NSEC, cache flush Jinseobs-MacBook-Pro.local OPT
    152 94.530361      fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     1303   Standard query response 0x0000 TXT, cache flush PTR Jinseob’s MacBook Pro._airplay._tcp.local TXT, cache flush PTR 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local TXT, cache flush PTR _companion-link._tcp.local PTR Jinseob’s MacBook Pro._companion-link._tcp.local TXT SRV, cache flush 0 0 51389 Jinseobs-MacBook-Pro.local AAAA, cache flush fe80::92:ffa0:1ec8:d73c A, cache flush 149.43.220.33 NSEC, cache flush Jinseob’s MacBook Pro._airplay._tcp.local NSEC, cache flush 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local NSEC, cache flush Jinseob’s MacBook Pro._companion-link._tcp.local NSEC, cache flush Jinseobs-MacBook-Pro.local OPT
    153 94.778334      149.43.220.33         224.0.0.251           MDNS     159    Standard query response 0x0000 PTR _airplay._tcp.local PTR _raop._tcp.local OPT
    154 94.778403      fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     179    Standard query response 0x0000 PTR _airplay._tcp.local PTR _raop._tcp.local OPT
    155 94.780676      149.43.220.33         239.255.255.250       SSDP     216    M-SEARCH * HTTP/1.1 
    156 94.787928      149.43.220.33         224.0.0.251           MDNS     494    Standard query 0x0000 PTR lb._dns-sd._udp.local, "QM" question PTR _airport._tcp.local, "QM" question PTR _homekit._tcp.local, "QM" question PTR _rdlink._tcp.local, "QM" question PTR _uscan._tcp.local, "QM" question PTR _scanner._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question PTR _ptp._tcp.local, "QM" question PTR _pdl-datastream._tcp.local, "QM" question PTR _ippusb._tcp.local, "QM" question PTR _printer._tcp.local, "QM" question PTR _ipps._tcp.local, "QM" question PTR _uscans._tcp.local, "QM" question PTR _googlecast._tcp.local, "QM" question PTR _companion-link._tcp.local, "QM" question PTR _apple-mobdev._tcp.local, "QM" question PTR 8d9507a9._sub._apple-mobdev2._tcp.local, "QM" question PTR _apple-pairable._tcp.local, "QM" question PTR _afpovertcp._tcp.local, "QM" question PTR _smb._tcp.local, "QM" question PTR _rfb._tcp.local, "QM" question PTR _adisk._tcp.local, "QM" question PTR Jinseob’s MacBook Pro._companion-link._tcp.local OPT
    157 94.787965      fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     514    Standard query 0x0000 PTR lb._dns-sd._udp.local, "QM" question PTR _airport._tcp.local, "QM" question PTR _homekit._tcp.local, "QM" question PTR _rdlink._tcp.local, "QM" question PTR _uscan._tcp.local, "QM" question PTR _scanner._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question PTR _ptp._tcp.local, "QM" question PTR _pdl-datastream._tcp.local, "QM" question PTR _ippusb._tcp.local, "QM" question PTR _printer._tcp.local, "QM" question PTR _ipps._tcp.local, "QM" question PTR _uscans._tcp.local, "QM" question PTR _googlecast._tcp.local, "QM" question PTR _companion-link._tcp.local, "QM" question PTR _apple-mobdev._tcp.local, "QM" question PTR 8d9507a9._sub._apple-mobdev2._tcp.local, "QM" question PTR _apple-pairable._tcp.local, "QM" question PTR _afpovertcp._tcp.local, "QM" question PTR _smb._tcp.local, "QM" question PTR _rfb._tcp.local, "QM" question PTR _adisk._tcp.local, "QM" question PTR Jinseob’s MacBook Pro._companion-link._tcp.local OPT
    158 95.495863      149.43.220.33         224.0.0.251           MDNS     112    Standard query 0x0000 PTR _sleep-proxy._udp.local, "QM" question OPT
    159 95.495938      fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     132    Standard query 0x0000 PTR _sleep-proxy._udp.local, "QM" question OPT
    160 95.603862      149.43.220.33         224.0.0.251           MDNS     1283   Standard query response 0x0000 TXT, cache flush PTR Jinseob’s MacBook Pro._airplay._tcp.local TXT, cache flush PTR 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local TXT, cache flush PTR _companion-link._tcp.local PTR Jinseob’s MacBook Pro._companion-link._tcp.local TXT SRV, cache flush 0 0 51389 Jinseobs-MacBook-Pro.local AAAA, cache flush fe80::92:ffa0:1ec8:d73c A, cache flush 149.43.220.33 NSEC, cache flush Jinseob’s MacBook Pro._airplay._tcp.local NSEC, cache flush 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local NSEC, cache flush Jinseob’s MacBook Pro._companion-link._tcp.local NSEC, cache flush Jinseobs-MacBook-Pro.local OPT
    161 95.603872      fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     1303   Standard query response 0x0000 TXT, cache flush PTR Jinseob’s MacBook Pro._airplay._tcp.local TXT, cache flush PTR 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local TXT, cache flush PTR _companion-link._tcp.local PTR Jinseob’s MacBook Pro._companion-link._tcp.local TXT SRV, cache flush 0 0 51389 Jinseobs-MacBook-Pro.local AAAA, cache flush fe80::92:ffa0:1ec8:d73c A, cache flush 149.43.220.33 NSEC, cache flush Jinseob’s MacBook Pro._airplay._tcp.local NSEC, cache flush 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local NSEC, cache flush Jinseob’s MacBook Pro._companion-link._tcp.local NSEC, cache flush Jinseobs-MacBook-Pro.local OPT
    162 96.780000      149.43.220.33         224.0.0.251           MDNS     1311   Standard query response 0x0000 TXT, cache flush PTR _airplay._tcp.local PTR Jinseob’s MacBook Pro._airplay._tcp.local TXT, cache flush PTR _raop._tcp.local PTR 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local TXT, cache flush PTR _companion-link._tcp.local PTR Jinseob’s MacBook Pro._companion-link._tcp.local TXT SRV, cache flush 0 0 51389 Jinseobs-MacBook-Pro.local AAAA, cache flush fe80::92:ffa0:1ec8:d73c A, cache flush 149.43.220.33 NSEC, cache flush Jinseob’s MacBook Pro._airplay._tcp.local NSEC, cache flush 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local NSEC, cache flush Jinseob’s MacBook Pro._companion-link._tcp.local NSEC, cache flush Jinseobs-MacBook-Pro.local OPT
    163 96.780101      fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     1331   Standard query response 0x0000 TXT, cache flush PTR _airplay._tcp.local PTR Jinseob’s MacBook Pro._airplay._tcp.local TXT, cache flush PTR _raop._tcp.local PTR 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local TXT, cache flush PTR _companion-link._tcp.local PTR Jinseob’s MacBook Pro._companion-link._tcp.local TXT SRV, cache flush 0 0 51389 Jinseobs-MacBook-Pro.local AAAA, cache flush fe80::92:ffa0:1ec8:d73c A, cache flush 149.43.220.33 NSEC, cache flush Jinseob’s MacBook Pro._airplay._tcp.local NSEC, cache flush 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local NSEC, cache flush Jinseob’s MacBook Pro._companion-link._tcp.local NSEC, cache flush Jinseobs-MacBook-Pro.local OPT
    164 97.794040      149.43.220.33         224.0.0.251           MDNS     494    Standard query 0x0000 PTR lb._dns-sd._udp.local, "QM" question PTR _airport._tcp.local, "QM" question PTR _homekit._tcp.local, "QM" question PTR _rdlink._tcp.local, "QM" question PTR _uscan._tcp.local, "QM" question PTR _scanner._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question PTR _ptp._tcp.local, "QM" question PTR _pdl-datastream._tcp.local, "QM" question PTR _ippusb._tcp.local, "QM" question PTR _printer._tcp.local, "QM" question PTR _ipps._tcp.local, "QM" question PTR _uscans._tcp.local, "QM" question PTR _googlecast._tcp.local, "QM" question PTR _companion-link._tcp.local, "QM" question PTR _apple-mobdev._tcp.local, "QM" question PTR 8d9507a9._sub._apple-mobdev2._tcp.local, "QM" question PTR _apple-pairable._tcp.local, "QM" question PTR _afpovertcp._tcp.local, "QM" question PTR _smb._tcp.local, "QM" question PTR _rfb._tcp.local, "QM" question PTR _adisk._tcp.local, "QM" question PTR Jinseob’s MacBook Pro._companion-link._tcp.local OPT
    165 97.794050      fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     514    Standard query 0x0000 PTR lb._dns-sd._udp.local, "QM" question PTR _airport._tcp.local, "QM" question PTR _homekit._tcp.local, "QM" question PTR _rdlink._tcp.local, "QM" question PTR _uscan._tcp.local, "QM" question PTR _scanner._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question PTR _ptp._tcp.local, "QM" question PTR _pdl-datastream._tcp.local, "QM" question PTR _ippusb._tcp.local, "QM" question PTR _printer._tcp.local, "QM" question PTR _ipps._tcp.local, "QM" question PTR _uscans._tcp.local, "QM" question PTR _googlecast._tcp.local, "QM" question PTR _companion-link._tcp.local, "QM" question PTR _apple-mobdev._tcp.local, "QM" question PTR 8d9507a9._sub._apple-mobdev2._tcp.local, "QM" question PTR _apple-pairable._tcp.local, "QM" question PTR _afpovertcp._tcp.local, "QM" question PTR _smb._tcp.local, "QM" question PTR _rfb._tcp.local, "QM" question PTR _adisk._tcp.local, "QM" question PTR Jinseob’s MacBook Pro._companion-link._tcp.local OPT
    166 99.844294      107.20.137.119        149.43.220.33         TCP      66     [TCP Dup ACK 47#6] 443 → 59296 [ACK] Seq=1 Ack=1 Win=13 Len=0 TSval=585743057 TSecr=2431211117
    167 99.844474      149.43.220.33         107.20.137.119        TCP      66     [TCP Dup ACK 48#6] [TCP ACKed unseen segment] 59296 → 443 [ACK] Seq=1 Ack=2 Win=2048 Len=0 TSval=2431226172 TSecr=585664031
    168 100.781255     149.43.220.33         224.0.0.251           MDNS     1311   Standard query response 0x0000 TXT, cache flush PTR _airplay._tcp.local PTR Jinseob’s MacBook Pro._airplay._tcp.local TXT, cache flush PTR _raop._tcp.local PTR 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local TXT, cache flush PTR _companion-link._tcp.local PTR Jinseob’s MacBook Pro._companion-link._tcp.local TXT SRV, cache flush 0 0 51389 Jinseobs-MacBook-Pro.local AAAA, cache flush fe80::92:ffa0:1ec8:d73c A, cache flush 149.43.220.33 NSEC, cache flush Jinseob’s MacBook Pro._airplay._tcp.local NSEC, cache flush 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local NSEC, cache flush Jinseob’s MacBook Pro._companion-link._tcp.local NSEC, cache flush Jinseobs-MacBook-Pro.local OPT
    169 100.781349     fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     1331   Standard query response 0x0000 TXT, cache flush PTR _airplay._tcp.local PTR Jinseob’s MacBook Pro._airplay._tcp.local TXT, cache flush PTR _raop._tcp.local PTR 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local TXT, cache flush PTR _companion-link._tcp.local PTR Jinseob’s MacBook Pro._companion-link._tcp.local TXT SRV, cache flush 0 0 51389 Jinseobs-MacBook-Pro.local AAAA, cache flush fe80::92:ffa0:1ec8:d73c A, cache flush 149.43.220.33 NSEC, cache flush Jinseob’s MacBook Pro._airplay._tcp.local NSEC, cache flush 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local NSEC, cache flush Jinseob’s MacBook Pro._companion-link._tcp.local NSEC, cache flush Jinseobs-MacBook-Pro.local OPT
    170 104.246373     63.34.202.188         149.43.220.33         TLSv1.2  97     Application Data
    171 104.246480     149.43.220.33         63.34.202.188         TCP      66     51395 → 443 [ACK] Seq=56 Ack=3424 Win=2047 Len=0 TSval=1851879067 TSecr=3649045076
    172 106.192273     63.34.202.188         149.43.220.33         TLSv1.2  449    Application Data
    173 106.192369     149.43.220.33         63.34.202.188         TCP      66     51395 → 443 [ACK] Seq=56 Ack=3807 Win=2042 Len=0 TSval=1851881012 TSecr=3649047071
    174 106.813049     149.43.220.33         224.0.0.251           MDNS     494    Standard query 0x0000 PTR lb._dns-sd._udp.local, "QM" question PTR _airport._tcp.local, "QM" question PTR _homekit._tcp.local, "QM" question PTR _rdlink._tcp.local, "QM" question PTR _uscan._tcp.local, "QM" question PTR _scanner._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question PTR _ptp._tcp.local, "QM" question PTR _pdl-datastream._tcp.local, "QM" question PTR _ippusb._tcp.local, "QM" question PTR _printer._tcp.local, "QM" question PTR _ipps._tcp.local, "QM" question PTR _uscans._tcp.local, "QM" question PTR _googlecast._tcp.local, "QM" question PTR _companion-link._tcp.local, "QM" question PTR _apple-mobdev._tcp.local, "QM" question PTR 8d9507a9._sub._apple-mobdev2._tcp.local, "QM" question PTR _apple-pairable._tcp.local, "QM" question PTR _afpovertcp._tcp.local, "QM" question PTR _smb._tcp.local, "QM" question PTR _rfb._tcp.local, "QM" question PTR _adisk._tcp.local, "QM" question PTR Jinseob’s MacBook Pro._companion-link._tcp.local OPT
    175 106.813060     fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     514    Standard query 0x0000 PTR lb._dns-sd._udp.local, "QM" question PTR _airport._tcp.local, "QM" question PTR _homekit._tcp.local, "QM" question PTR _rdlink._tcp.local, "QM" question PTR _uscan._tcp.local, "QM" question PTR _scanner._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question PTR _ptp._tcp.local, "QM" question PTR _pdl-datastream._tcp.local, "QM" question PTR _ippusb._tcp.local, "QM" question PTR _printer._tcp.local, "QM" question PTR _ipps._tcp.local, "QM" question PTR _uscans._tcp.local, "QM" question PTR _googlecast._tcp.local, "QM" question PTR _companion-link._tcp.local, "QM" question PTR _apple-mobdev._tcp.local, "QM" question PTR 8d9507a9._sub._apple-mobdev2._tcp.local, "QM" question PTR _apple-pairable._tcp.local, "QM" question PTR _afpovertcp._tcp.local, "QM" question PTR _smb._tcp.local, "QM" question PTR _rfb._tcp.local, "QM" question PTR _adisk._tcp.local, "QM" question PTR Jinseob’s MacBook Pro._companion-link._tcp.local OPT
    176 107.122736     149.43.220.33         224.0.0.251           MDNS     669    Standard query 0x0000 PTR lb._dns-sd._udp.local, "QU" question PTR _airport._tcp.local, "QU" question PTR _homekit._tcp.local, "QU" question PTR _rdlink._tcp.local, "QU" question PTR _uscan._tcp.local, "QU" question PTR _scanner._tcp.local, "QU" question PTR _ipp._tcp.local, "QU" question PTR _ptp._tcp.local, "QU" question PTR _pdl-datastream._tcp.local, "QU" question PTR _ippusb._tcp.local, "QU" question PTR _printer._tcp.local, "QU" question PTR _ipps._tcp.local, "QU" question PTR _uscans._tcp.local, "QU" question PTR _googlecast._tcp.local, "QU" question PTR _companion-link._tcp.local, "QU" question PTR _apple-mobdev._tcp.local, "QU" question PTR 8d9507a9._sub._apple-mobdev2._tcp.local, "QU" question PTR _apple-pairable._tcp.local, "QU" question PTR _afpovertcp._tcp.local, "QU" question PTR _smb._tcp.local, "QU" question PTR _rfb._tcp.local, "QU" question PTR _adisk._tcp.local, "QU" question ANY Jinseob’s MacBook Pro._airplay._tcp.local, "QU" question ANY 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local, "QU" question ANY Jinseob’s MacBook Pro._companion-link._tcp.local, "QU" question PTR Jinseob’s MacBook Pro._companion-link._tcp.local SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 51389 Jinseobs-MacBook-Pro.local OPT
    177 107.122767     fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     689    Standard query 0x0000 PTR lb._dns-sd._udp.local, "QU" question PTR _airport._tcp.local, "QU" question PTR _homekit._tcp.local, "QU" question PTR _rdlink._tcp.local, "QU" question PTR _uscan._tcp.local, "QU" question PTR _scanner._tcp.local, "QU" question PTR _ipp._tcp.local, "QU" question PTR _ptp._tcp.local, "QU" question PTR _pdl-datastream._tcp.local, "QU" question PTR _ippusb._tcp.local, "QU" question PTR _printer._tcp.local, "QU" question PTR _ipps._tcp.local, "QU" question PTR _uscans._tcp.local, "QU" question PTR _googlecast._tcp.local, "QU" question PTR _companion-link._tcp.local, "QU" question PTR _apple-mobdev._tcp.local, "QU" question PTR 8d9507a9._sub._apple-mobdev2._tcp.local, "QU" question PTR _apple-pairable._tcp.local, "QU" question PTR _afpovertcp._tcp.local, "QU" question PTR _smb._tcp.local, "QU" question PTR _rfb._tcp.local, "QU" question PTR _adisk._tcp.local, "QU" question ANY Jinseob’s MacBook Pro._airplay._tcp.local, "QU" question ANY 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local, "QU" question ANY Jinseob’s MacBook Pro._companion-link._tcp.local, "QU" question PTR Jinseob’s MacBook Pro._companion-link._tcp.local SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 51389 Jinseobs-MacBook-Pro.local OPT
    178 107.122868     149.43.220.33         224.0.0.251           MDNS     159    Standard query response 0x0000 PTR _airplay._tcp.local PTR _raop._tcp.local OPT
    179 107.122883     fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     179    Standard query response 0x0000 PTR _airplay._tcp.local PTR _raop._tcp.local OPT
    180 107.374582     149.43.220.33         224.0.0.251           MDNS     308    Standard query 0x0000 ANY Jinseob’s MacBook Pro._airplay._tcp.local, "QM" question ANY 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local, "QM" question ANY Jinseob’s MacBook Pro._companion-link._tcp.local, "QM" question SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 51389 Jinseobs-MacBook-Pro.local OPT
    181 107.374592     fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     328    Standard query 0x0000 ANY Jinseob’s MacBook Pro._airplay._tcp.local, "QM" question ANY 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local, "QM" question ANY Jinseob’s MacBook Pro._companion-link._tcp.local, "QM" question SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 51389 Jinseobs-MacBook-Pro.local OPT
    182 107.625131     149.43.220.33         224.0.0.251           MDNS     308    Standard query 0x0000 ANY Jinseob’s MacBook Pro._airplay._tcp.local, "QM" question ANY 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local, "QM" question ANY Jinseob’s MacBook Pro._companion-link._tcp.local, "QM" question SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 51389 Jinseobs-MacBook-Pro.local OPT
    183 107.625140     fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     328    Standard query 0x0000 ANY Jinseob’s MacBook Pro._airplay._tcp.local, "QM" question ANY 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local, "QM" question ANY Jinseob’s MacBook Pro._companion-link._tcp.local, "QM" question SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 7000 Jinseobs-MacBook-Pro.local SRV 0 0 51389 Jinseobs-MacBook-Pro.local OPT
    184 107.877014     149.43.220.33         224.0.0.251           MDNS     1283   Standard query response 0x0000 TXT, cache flush PTR Jinseob’s MacBook Pro._airplay._tcp.local TXT, cache flush PTR 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local TXT, cache flush PTR _companion-link._tcp.local PTR Jinseob’s MacBook Pro._companion-link._tcp.local TXT SRV, cache flush 0 0 51389 Jinseobs-MacBook-Pro.local AAAA, cache flush fe80::92:ffa0:1ec8:d73c A, cache flush 149.43.220.33 NSEC, cache flush Jinseob’s MacBook Pro._airplay._tcp.local NSEC, cache flush 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local NSEC, cache flush Jinseob’s MacBook Pro._companion-link._tcp.local NSEC, cache flush Jinseobs-MacBook-Pro.local OPT
    185 107.877024     fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     1303   Standard query response 0x0000 TXT, cache flush PTR Jinseob’s MacBook Pro._airplay._tcp.local TXT, cache flush PTR 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local SRV, cache flush 0 0 7000 Jinseobs-MacBook-Pro.local TXT, cache flush PTR _companion-link._tcp.local PTR Jinseob’s MacBook Pro._companion-link._tcp.local TXT SRV, cache flush 0 0 51389 Jinseobs-MacBook-Pro.local AAAA, cache flush fe80::92:ffa0:1ec8:d73c A, cache flush 149.43.220.33 NSEC, cache flush Jinseob’s MacBook Pro._airplay._tcp.local NSEC, cache flush 38F9D38EAC12@Jinseob’s MacBook Pro._raop._tcp.local NSEC, cache flush Jinseob’s MacBook Pro._companion-link._tcp.local NSEC, cache flush Jinseobs-MacBook-Pro.local OPT
    186 108.123814     149.43.220.33         224.0.0.251           MDNS     159    Standard query response 0x0000 PTR _airplay._tcp.local PTR _raop._tcp.local OPT
    187 108.123885     fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     179    Standard query response 0x0000 PTR _airplay._tcp.local PTR _raop._tcp.local OPT
    188 108.125936     149.43.220.33         224.0.0.251           MDNS     494    Standard query 0x0000 PTR lb._dns-sd._udp.local, "QM" question PTR _airport._tcp.local, "QM" question PTR _homekit._tcp.local, "QM" question PTR _rdlink._tcp.local, "QM" question PTR _uscan._tcp.local, "QM" question PTR _scanner._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question PTR _ptp._tcp.local, "QM" question PTR _pdl-datastream._tcp.local, "QM" question PTR _ippusb._tcp.local, "QM" question PTR _printer._tcp.local, "QM" question PTR _ipps._tcp.local, "QM" question PTR _uscans._tcp.local, "QM" question PTR _googlecast._tcp.local, "QM" question PTR _companion-link._tcp.local, "QM" question PTR _apple-mobdev._tcp.local, "QM" question PTR 8d9507a9._sub._apple-mobdev2._tcp.local, "QM" question PTR _apple-pairable._tcp.local, "QM" question PTR _afpovertcp._tcp.local, "QM" question PTR _smb._tcp.local, "QM" question PTR _rfb._tcp.local, "QM" question PTR _adisk._tcp.local, "QM" question PTR Jinseob’s MacBook Pro._companion-link._tcp.local OPT
    189 108.125945     fe80::92:ffa0:1ec8:d73c ff02::fb              MDNS     514    Standard query 0x0000 PTR lb._dns-sd._udp.local, "QM" question PTR _airport._tcp.local, "QM" question PTR _homekit._tcp.local, "QM" question PTR _rdlink._tcp.local, "QM" question PTR _uscan._tcp.local, "QM" question PTR _scanner._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question PTR _ptp._tcp.local, "QM" question PTR _pdl-datastream._tcp.local, "QM" question PTR _ippusb._tcp.local, "QM" question PTR _printer._tcp.local, "QM" question PTR _ipps._tcp.local, "QM" question PTR _uscans._tcp.local, "QM" question PTR _googlecast._tcp.local, "QM" question PTR _companion-link._tcp.local, "QM" question PTR _apple-mobdev._tcp.local, "QM" question PTR 8d9507a9._sub._apple-mobdev2._tcp.local, "QM" question PTR _apple-pairable._tcp.local, "QM" question PTR _afpovertcp._tcp.local, "QM" question PTR _smb._tcp.local, "QM" question PTR _rfb._tcp.local, "QM" question PTR _adisk._tcp.local, "QM" question PTR Jinseob’s MacBook Pro._companion-link._tcp.local OPT
